production_cost,marketing_spend,seasonal_demand_index,competitor_price,customer_rating,economic_index,store_count,sales_revenue,product_category_encoded,region_encoded,customer_segment_encoded,promotion_applied_encoded
549.93,276.16,1.76,208.39,4.01,115.15,13,1926.01,0,0,1,1
515.89,238.99,1.63,414.94,4.63,121.42,12,1942.44,2,2,1,0
463.27,257.71,2.11,283.52,3.97,90.18,35,1934.87,3,3,2,0
597.02,153.52,0.82,305.51,3.68,62.45,54,2091.03,2,0,1,0
379.51,203.62,1.7,276.23,3.4,107.63,51,1961.85,3,0,0,0
614.75,214.95,1.47,211.78,4.4,85.69,43,2441.29,3,2,2,1
427.15,212.75,1.11,358.82,3.15,97.93,66,1823.56,1,0,1,0
678.15,214.78,1.1,323.16,3.58,102.96,15,1813.86,2,2,0,1
399.47,186.17,1.61,235.59,4.21,111.07,49,1905.47,1,0,2,0
464.84,206.76,1.81,375.53,3.05,117.86,34,1604.66,2,1,0,0
505.86,251.68,1.53,304.39,3.69,123.39,39,1976.79,2,2,1,0
505.23,141.67,1.55,306.11,4.06,126.39,26,1629.43,1,0,1,1
549.08,277.35,1.25,442.12,3.81,102.08,69,2309.02,1,3,1,0
371.43,249.09,1.28,171.36,3.51,66.23,48,1945.02,2,0,1,0
496.27,151.74,1.1,170.3,3.7,87.81,89,2391.5,0,3,2,0
513.81,219.19,1.24,188.32,4.41,128.16,51,2167.95,3,3,2,1
447.23,245.07,1.8,329.09,4.92,102.98,98,2717.56,1,1,0,1
540.41,138.24,1.85,271.28,4.07,143.57,4,1917.44,3,2,1,1
365.36,202.1,0.86,277.64,3.01,92.42,98,2104.36,0,0,0,0
467.35,196.07,1.05,224.61,4.28,146.26,27,1802.46,0,1,2,1
424.68,167.72,1.14,433.22,3.8,99.97,42,1520.8,0,0,1,0
467.66,204.62,1.47,460.08,3.45,91.6,56,2023.97,1,3,1,1
644.7,169.99,0.66,371.91,3.6,85.77,93,2341.2,0,2,2,1
646.65,268.72,1.06,179.42,3.62,113.2,69,2464.3,1,0,2,0
627.04,168.67,0.81,261.05,3.29,71.74,18,1908.69,0,0,2,1
453.77,239.6,1.7,366.2,3.97,89.0,61,2190.46,3,3,2,0
590.76,117.23,1.49,296.33,4.91,98.95,4,1891.37,3,0,2,0
511.24,191.91,1.27,372.18,3.45,54.84,1,1391.75,2,0,1,1
504.56,200.62,0.97,399.83,4.9,98.05,50,2203.42,3,3,2,0
492.26,190.29,1.28,452.58,4.1,134.41,84,2353.0,2,1,1,0
675.84,180.18,1.22,247.61,3.95,108.64,70,2530.45,3,3,1,1
636.58,166.62,2.32,306.5,3.84,86.84,20,1727.89,1,1,2,1
574.49,237.73,2.0,264.74,3.6,90.44,20,1931.52,3,2,2,0
482.97,249.97,1.15,139.94,4.15,106.74,46,2189.59,2,1,1,1
503.96,195.89,1.58,356.13,4.26,89.79,27,2145.52,2,1,2,0
553.06,145.17,1.97,345.08,2.79,109.37,26,1654.34,0,2,2,0
447.84,289.7,1.15,256.25,5.27,89.22,32,2179.72,1,1,2,1
593.83,156.01,0.79,172.16,3.09,79.51,10,1612.86,3,3,0,1
407.88,127.03,0.6,269.27,3.74,123.62,82,2163.9,0,1,1,1
539.18,99.37,2.14,358.49,2.72,114.18,12,1335.95,3,2,0,1
271.03,204.97,1.4,406.99,3.87,62.23,74,2039.88,3,3,2,0
444.94,189.13,1.65,242.99,3.77,93.26,88,2298.39,0,2,0,0
707.77,251.55,1.21,388.62,3.74,120.86,24,2043.29,0,2,2,1
603.62,230.55,0.87,349.8,4.15,96.68,51,2104.02,0,0,0,1
653.55,214.51,0.96,333.06,3.88,88.39,38,2045.16,0,0,2,0
433.27,186.43,0.83,196.52,4.27,94.95,46,1949.04,0,2,0,0
510.38,255.5,1.92,199.99,3.38,102.22,89,2481.39,3,2,0,0
628.2,293.37,2.25,233.54,4.04,96.41,8,2004.75,0,2,0,0
563.31,250.45,1.52,273.89,3.68,98.35,55,2244.82,1,0,1,1
550.86,176.82,0.74,444.06,3.81,97.0,78,2217.02,2,0,0,0
663.06,239.08,1.75,247.02,4.14,80.53,31,2286.9,0,1,1,0
395.95,179.9,2.13,361.7,3.75,79.5,88,2251.52,0,1,2,1
481.58,144.75,1.99,262.82,3.95,78.2,16,1776.78,3,2,0,0
324.59,155.05,1.49,337.82,3.42,101.83,20,1325.06,0,3,2,0
390.49,182.09,1.38,294.96,4.55,111.66,38,2106.37,0,3,2,1
607.42,205.2,1.48,314.16,4.36,81.17,15,1974.71,0,0,0,1
408.27,303.03,2.11,329.57,4.05,70.0,78,2320.1,3,0,1,1
573.55,155.92,1.88,280.04,3.88,82.57,76,2594.95,0,0,0,0
665.85,266.17,1.31,329.96,3.95,128.05,34,2197.52,2,2,2,0
482.21,184.14,1.29,398.71,4.54,93.74,72,2242.22,3,3,2,1
551.99,99.18,1.26,239.67,4.33,95.72,19,1819.16,2,1,0,1
574.33,174.71,0.97,394.87,4.55,84.05,69,2238.8,3,2,1,0
377.85,258.83,2.18,278.78,3.83,111.43,91,2334.1,0,1,1,1
438.35,217.23,1.11,270.32,4.24,97.53,63,2303.7,2,1,2,1
399.63,220.22,1.75,355.96,4.59,85.47,77,2276.93,3,2,2,1
446.33,266.43,1.17,272.71,3.54,79.38,32,1646.75,1,1,1,0
571.61,148.18,1.26,325.53,3.51,107.56,95,2514.79,0,3,0,0
440.48,147.41,1.44,318.06,4.14,105.28,37,2026.86,3,1,2,0
496.48,86.81,1.77,133.32,3.38,75.23,66,2250.64,1,3,1,0
395.75,243.85,1.37,333.41,3.09,124.55,7,1595.22,3,3,2,0
622.64,228.12,0.93,184.71,4.59,87.16,48,2596.13,1,3,0,0
445.49,236.2,1.51,190.81,4.67,55.5,11,1750.6,0,0,1,1
652.3,140.85,1.12,329.32,3.41,130.57,75,2282.47,2,1,2,0
506.09,119.79,2.27,342.93,3.28,97.95,87,2157.99,1,2,0,0
359.3,134.02,1.37,396.4,3.67,108.69,31,1438.17,3,2,2,1
482.9,153.87,1.17,212.85,4.63,133.45,44,2225.31,0,1,0,0
393.72,277.7,2.49,240.7,3.79,79.95,45,2083.61,1,0,0,0
558.93,250.01,1.87,337.15,4.05,109.59,72,2597.09,3,0,1,1
473.86,177.09,1.05,397.94,4.16,123.51,56,1959.5,3,3,0,1
516.32,214.96,1.1,315.37,4.09,81.31,32,1851.23,3,1,2,1
463.06,166.08,1.74,229.76,4.75,129.21,21,2004.9,1,1,0,0
444.47,218.21,1.52,420.51,3.64,71.82,31,1815.07,1,2,0,1
402.64,143.1,1.95,279.01,3.95,98.09,1,1318.36,1,1,1,0
583.62,237.51,1.17,281.5,4.12,78.49,77,2459.21,2,0,0,0
482.68,157.51,1.85,185.13,3.98,113.92,11,1776.93,1,1,0,0
468.53,240.3,0.38,357.93,3.39,80.69,93,2324.19,1,2,2,0
480.18,178.63,1.42,368.21,3.26,87.65,68,2134.4,1,3,1,1
432.11,160.5,1.19,243.53,3.25,82.42,36,1672.23,2,2,1,1
468.86,280.65,1.27,440.1,4.36,75.96,79,2256.22,1,2,1,0
520.56,208.85,1.45,253.03,3.59,84.66,59,1950.91,3,3,0,1
396.59,183.89,2.07,350.02,4.23,99.09,67,2183.36,1,2,1,0
411.06,237.91,0.92,317.89,4.04,98.0,56,1986.15,3,2,0,0
637.83,133.0,0.41,137.96,3.51,95.67,51,2005.03,3,1,0,0
463.72,255.34,0.98,343.51,3.53,86.67,29,1797.41,3,1,2,1
444.84,193.03,2.01,336.33,4.07,92.88,85,2297.7,2,3,2,0
365.61,230.04,0.68,158.69,4.04,68.29,2,1393.23,2,1,2,0
585.07,122.61,1.21,422.03,4.25,86.02,6,1762.24,2,1,2,1
394.41,180.88,1.92,336.66,3.77,95.56,31,1657.07,1,2,2,1
498.47,200.23,1.47,399.15,3.58,105.89,54,2025.26,3,0,0,1
329.18,251.51,2.06,162.71,4.05,103.45,88,2442.37,2,1,0,1
581.82,234.02,0.48,267.17,4.71,75.44,40,2189.01,2,0,1,0
617.69,180.38,1.34,394.45,3.06,108.56,17,1725.27,1,1,0,1
548.45,215.9,2.17,174.54,3.6,102.45,5,1793.81,2,1,0,0
346.55,262.83,0.94,269.51,4.3,128.8,2,1364.06,1,3,2,1
583.88,190.0,2.02,332.52,4.11,70.11,58,2189.08,0,3,0,1
417.27,184.56,1.38,148.43,4.3,97.27,12,1751.53,2,3,2,1
382.9,105.51,1.72,194.29,3.79,120.63,5,1369.73,0,0,1,1
461.65,186.05,2.13,410.57,3.19,94.07,60,2073.33,1,2,1,1
459.66,113.02,1.71,304.78,4.84,81.73,41,2093.69,3,1,0,1
449.5,194.28,1.2,394.14,4.54,83.68,20,1580.1,2,1,1,0
627.37,249.41,1.78,314.57,3.99,115.7,72,2714.38,1,1,0,1
701.18,94.02,1.17,496.47,3.58,69.04,1,1495.23,3,0,1,1
363.09,261.71,1.64,335.1,3.75,93.34,56,1959.21,3,3,2,1
431.12,183.49,0.87,401.58,4.11,82.48,70,2140.65,0,2,2,1
514.27,198.64,1.51,280.31,3.87,83.98,56,2138.71,1,0,2,0
461.13,174.88,2.09,316.86,3.99,108.83,54,2211.66,3,3,2,1
539.94,114.34,1.35,351.35,4.81,92.09,11,1695.63,2,0,0,1
591.6,160.85,2.05,364.62,4.46,104.66,3,1929.44,2,2,1,1
560.97,145.2,1.49,300.22,4.04,116.6,28,1833.0,3,0,2,0
665.91,120.57,1.81,340.15,3.74,104.25,5,1760.59,1,2,0,1
341.11,207.06,1.74,340.1,4.15,124.76,90,2467.21,2,1,1,0
648.01,195.71,1.61,218.0,3.97,91.86,16,2019.82,3,2,0,1
578.51,200.72,1.38,325.66,4.21,115.67,28,2049.43,0,0,0,0
397.03,232.21,1.17,221.89,3.93,108.6,7,1627.96,2,3,1,1
409.15,170.64,0.74,372.47,4.92,133.96,9,1578.85,2,3,1,1
566.21,209.72,1.33,333.02,4.1,66.74,39,2059.83,1,0,2,0
307.13,251.19,1.95,486.45,3.24,103.49,99,2275.4,2,3,1,0
598.94,150.24,1.03,297.92,3.94,91.88,43,2051.38,1,3,2,1
626.0,83.89,1.62,390.89,4.31,90.45,27,1871.95,2,1,2,0
517.78,233.54,1.44,343.13,4.24,129.87,76,2455.87,0,0,2,0
514.18,325.15,1.19,453.72,4.5,87.6,89,2546.99,2,2,0,0
416.64,199.63,0.57,222.4,4.08,117.06,93,2444.53,1,1,0,1
567.44,210.1,2.18,260.37,4.04,78.92,95,2861.64,1,0,0,0
534.77,185.21,1.76,225.14,3.3,120.39,98,2596.76,0,1,0,0
460.85,196.11,2.04,210.02,3.85,94.34,91,2546.78,2,2,1,1
484.07,190.67,2.17,177.91,3.51,69.26,56,1886.34,0,0,0,1
460.72,245.54,0.63,129.33,5.31,94.39,2,1848.31,2,2,1,0
363.71,175.79,0.62,124.2,4.84,86.26,14,1804.54,2,1,1,1
569.9,135.77,1.52,352.51,3.78,134.95,13,1734.29,1,2,2,0
475.65,244.12,0.93,263.56,3.06,101.03,24,1620.13,2,1,2,1
501.54,170.42,1.16,201.3,3.64,88.07,69,2411.02,2,1,2,1
442.17,151.23,2.76,247.27,4.79,87.22,34,1957.86,0,2,2,0
547.53,305.0,2.09,257.77,4.09,72.8,87,2543.08,0,0,1,1
519.87,191.07,1.03,222.83,3.33,130.45,19,1710.9,3,3,0,1
621.28,224.71,0.32,428.44,4.39,125.13,30,2048.52,1,2,1,1
548.06,201.48,0.99,413.35,3.9,98.66,49,2103.68,2,1,1,0
479.73,155.68,1.22,427.08,3.68,143.59,43,1759.75,2,1,1,1
426.03,234.47,1.34,314.34,3.71,99.74,16,1523.81,3,2,2,1
586.6,215.73,0.86,322.44,4.65,121.93,52,2189.4,2,0,2,0
471.74,167.03,2.06,247.79,4.27,111.32,98,2682.6,1,0,2,1
482.83,221.66,1.14,232.23,3.26,88.51,49,1824.66,3,1,0,1
482.8,174.28,1.82,301.74,4.18,103.65,11,1839.63,1,1,1,1
459.84,144.78,1.53,352.19,4.05,107.45,78,2265.04,3,0,0,1
484.55,139.72,1.97,395.66,3.79,73.91,47,1872.08,3,3,2,1
692.62,213.5,1.38,256.32,3.82,105.76,79,2526.88,0,2,0,0
395.22,180.86,1.04,199.78,3.57,122.82,35,1569.96,1,1,1,0
418.55,275.09,1.2,358.72,3.67,86.17,71,2053.22,2,1,1,1
638.43,197.85,1.21,154.55,4.14,95.79,29,2060.33,2,0,2,1
462.52,160.74,2.53,296.86,3.86,77.81,54,2164.8,1,2,2,1
454.94,207.89,1.54,307.14,4.27,90.34,86,2444.24,2,0,0,0
603.49,135.29,1.5,269.7,3.61,91.9,23,1740.89,2,2,2,0
357.98,195.79,1.94,176.38,4.35,131.56,24,1719.82,1,2,2,1
582.15,215.96,1.5,270.75,4.66,93.66,99,2811.8,3,2,1,1
504.56,209.78,2.06,431.4,4.0,89.39,10,1484.52,1,1,2,0
546.48,265.14,1.31,347.34,4.26,98.12,61,2285.33,3,3,2,1
544.6,329.88,1.26,392.94,4.28,65.85,8,1914.55,2,0,1,0
437.2,233.57,1.01,202.62,3.75,52.83,48,1936.78,2,3,1,0
605.12,258.94,2.43,320.46,4.28,72.36,76,2669.54,2,0,0,1
444.99,327.17,1.47,307.07,2.87,106.48,93,2327.61,0,2,2,0
540.88,149.69,0.91,308.62,2.67,99.95,29,1420.61,3,1,1,1
623.77,206.53,1.6,344.47,3.84,117.38,87,2749.38,0,3,0,1
637.89,176.1,1.17,311.79,4.32,69.59,26,1971.42,0,1,0,1
473.29,242.13,1.31,204.84,3.96,95.92,37,1979.68,1,0,2,1
546.31,213.58,1.66,349.06,4.37,68.16,96,2606.92,0,1,2,1
464.05,159.08,2.26,367.27,3.4,105.35,52,2071.77,1,1,0,1
750.38,200.55,1.55,405.56,4.44,72.44,38,2157.34,1,3,1,0
578.01,252.35,1.14,409.09,4.81,95.13,6,1987.04,0,2,0,0
508.41,134.81,1.25,338.11,3.65,104.13,8,1484.8,3,1,2,0
531.26,160.13,1.83,208.57,4.39,92.18,17,1865.55,3,2,1,0
540.71,152.64,0.52,177.65,4.01,54.76,76,2250.15,3,0,1,1
543.67,216.32,0.98,281.83,4.22,133.25,62,2467.44,3,1,0,0
476.0,262.03,1.61,373.56,4.81,90.05,86,2443.89,3,3,2,0
460.57,99.51,0.65,368.4,4.16,67.81,78,2092.35,0,0,0,0
484.81,204.72,1.34,321.92,4.38,115.22,34,1840.9,0,0,0,1
386.03,153.79,1.26,297.08,3.37,115.97,19,1281.05,2,3,0,0
571.83,250.27,1.94,452.3,4.37,93.96,70,2586.21,3,1,1,1
419.83,188.15,1.37,345.92,4.81,130.72,82,2436.35,0,1,1,0
394.0,206.53,2.09,293.02,3.54,85.19,37,1687.98,2,0,2,1
498.56,199.93,1.54,248.36,3.84,103.51,38,2049.65,3,1,2,1
486.99,256.21,2.39,219.31,4.34,110.22,15,1930.13,1,2,0,0
524.96,302.43,0.81,211.43,4.22,130.28,40,2066.02,2,3,0,1
443.18,143.27,2.31,219.32,3.32,61.13,9,1597.53,0,2,0,1
460.75,152.37,1.29,322.48,4.08,145.84,53,1991.02,1,1,2,0
569.21,216.07,2.24,298.55,3.83,123.48,70,2337.83,1,0,1,0
563.12,159.18,2.09,273.93,3.52,108.99,66,2340.76,1,3,1,0
503.4,254.71,1.74,444.73,4.0,82.33,52,2179.32,0,1,0,1
516.89,172.67,2.0,234.13,4.49,105.76,1,1740.97,1,0,0,1
523.04,161.82,2.16,246.06,3.41,109.88,30,1968.04,3,0,0,0
434.4,186.26,0.91,122.64,4.29,107.3,97,2562.62,1,2,2,1
647.4,205.2,1.8,297.89,4.53,103.2,1,2024.68,1,3,1,1
633.16,215.74,1.6,289.79,3.88,108.64,39,2248.28,2,3,0,1
579.42,87.36,1.72,371.42,3.75,56.29,16,1801.85,2,0,2,1
457.41,151.63,2.0,293.05,3.35,94.68,17,1598.42,0,2,0,1
553.91,179.8,2.08,252.95,3.57,72.34,82,2483.06,3,3,0,1
597.84,160.15,1.17,315.41,3.77,99.19,22,1786.45,2,0,1,1
669.45,105.58,1.52,170.58,3.62,81.83,99,2892.66,0,3,1,0
326.06,134.73,1.38,380.55,4.08,85.81,31,1523.16,1,2,1,0
570.46,194.24,1.43,404.5,4.14,83.01,40,2123.67,1,2,1,1
645.33,178.19,1.6,343.8,4.55,85.68,27,2182.22,2,2,2,1
488.69,168.42,1.2,225.24,3.62,111.08,36,1863.71,0,1,2,0
484.95,239.83,1.94,273.92,4.01,115.74,4,1692.54,3,3,1,1
566.77,239.81,2.13,394.63,3.79,129.38,69,2360.66,3,3,0,0
685.19,207.5,1.09,221.74,3.76,79.9,25,1945.75,2,1,1,1
471.89,206.01,2.16,350.29,3.84,113.68,95,2533.78,2,3,0,1
421.9,157.17,1.09,295.94,3.9,117.01,78,2070.46,0,1,1,0
457.62,163.15,1.95,312.82,4.13,133.07,30,1957.83,3,1,0,0
344.75,114.62,2.16,233.14,3.83,81.39,47,1843.17,3,1,2,0
589.78,187.46,1.45,326.45,4.61,59.93,12,1804.26,3,2,0,0
448.59,239.29,1.09,320.73,3.15,94.45,27,1479.1,1,3,1,0
590.96,187.76,1.68,299.64,3.82,78.09,88,2534.5,1,3,0,1
462.31,224.58,2.48,349.11,3.91,109.74,63,2200.35,0,2,0,1
396.19,178.35,1.55,104.18,4.35,136.3,30,1967.33,0,0,0,0
595.87,177.18,1.46,290.81,3.56,62.44,82,2413.36,3,2,0,0
534.19,274.56,1.27,417.32,3.67,52.18,14,1576.56,3,0,2,0
491.14,219.65,1.46,272.44,4.25,101.98,56,2141.48,0,3,2,0
513.09,224.71,1.23,414.29,3.15,102.37,19,1422.45,2,3,2,0
371.32,222.12,2.12,235.01,3.98,128.39,86,2393.9,0,2,2,1
510.8,202.27,2.17,207.12,3.6,116.99,26,1959.74,2,3,1,1
485.83,276.62,1.54,299.59,3.5,59.99,71,2114.97,1,0,2,1
374.06,84.74,1.43,234.19,3.18,96.96,92,2071.63,1,1,0,1
432.89,207.31,1.25,326.39,4.39,86.06,38,1925.23,1,1,0,1
487.08,256.49,1.55,270.19,4.08,73.3,69,2392.9,3,1,2,0
439.27,105.43,2.42,417.91,3.66,108.67,36,1622.59,1,2,0,0
258.79,241.9,1.45,264.67,3.92,120.86,18,1738.33,2,3,2,0
607.64,161.94,1.08,307.18,3.45,83.89,57,2174.3,1,0,0,0
485.79,205.49,1.3,347.71,3.73,93.34,78,2198.08,0,3,1,0
272.6,160.98,1.88,376.51,3.9,94.68,23,1386.87,0,3,1,0
713.5,247.96,1.14,418.37,4.03,86.78,14,1960.28,3,3,2,1
624.14,185.58,1.48,281.21,4.2,91.45,96,2778.98,0,1,2,0
465.1,242.29,1.74,268.06,3.1,86.77,69,2027.99,2,0,2,0
415.75,221.77,1.18,146.89,4.2,102.49,22,1699.63,1,0,0,0
540.32,160.31,0.62,463.34,3.14,88.27,28,1451.33,3,3,2,0
520.23,225.09,0.96,328.88,4.22,108.54,43,2048.51,1,1,1,1
554.21,166.82,1.07,360.14,3.89,88.2,76,2298.34,1,1,0,1
416.04,203.21,1.39,344.46,4.55,112.93,18,1967.6,2,0,2,0
609.78,184.67,1.52,303.96,3.66,87.77,95,2372.09,0,1,0,1
452.65,245.0,1.91,328.03,4.39,112.11,77,2380.9,0,1,0,1
568.08,227.02,0.89,255.23,3.42,83.03,84,2319.58,1,1,2,0
420.31,198.46,1.84,275.83,4.05,117.71,36,1963.68,3,2,0,0
569.55,136.55,0.61,424.58,4.44,99.88,23,1769.45,3,0,1,0
582.76,168.39,2.16,458.09,3.65,99.08,96,2429.07,3,2,2,1
443.85,106.1,1.94,483.71,4.06,76.28,21,1545.36,2,3,0,0
582.94,133.5,1.46,187.67,4.22,96.11,70,2300.34,3,0,1,0
590.06,281.29,2.06,378.82,3.22,77.81,80,2403.64,2,1,0,0
537.33,167.0,1.6,191.36,3.63,95.24,99,2552.82,2,0,0,1
563.04,254.11,1.99,314.19,3.59,93.38,47,2216.43,3,1,1,0
576.17,182.17,0.67,325.18,5.2,106.6,53,2529.51,2,2,0,0
400.63,261.98,0.88,197.03,4.52,101.32,84,2603.37,1,1,0,0
393.51,258.36,1.86,241.0,3.89,137.57,41,1852.13,2,0,2,1
420.58,158.72,2.27,328.83,4.39,89.8,75,2354.4,0,0,2,0
512.75,100.6,1.71,314.1,4.11,97.35,32,1957.37,3,0,1,0
402.44,159.57,1.07,244.16,3.47,95.53,88,2430.73,3,2,1,1
577.53,294.48,1.34,180.68,4.69,119.06,95,2873.59,0,3,2,0
528.3,179.47,2.11,203.77,3.62,111.53,17,1820.84,0,0,1,0
516.89,207.26,1.33,270.29,3.64,146.7,25,2030.31,0,1,1,0
474.2,265.17,2.02,379.0,4.3,71.39,64,2356.5,2,2,1,1
462.18,205.52,1.83,389.14,4.17,69.11,73,2232.68,2,0,2,0
415.87,203.79,2.36,446.67,4.01,77.64,86,2262.56,3,0,0,0
593.37,231.13,1.6,333.94,4.42,103.46,48,2305.9,3,2,1,0
429.65,214.45,1.48,315.06,3.42,79.93,35,1841.66,1,3,0,1
520.94,195.03,2.05,339.61,4.92,57.33,37,2293.24,1,2,1,1
666.2,163.93,1.03,338.84,3.75,81.51,55,2101.57,3,2,0,0
466.77,203.92,1.28,170.68,3.96,107.37,17,1769.43,2,1,2,1
596.07,254.72,0.66,451.11,4.93,81.93,28,2004.98,0,1,2,1
556.87,289.1,0.87,145.52,3.65,122.85,1,1675.16,3,3,1,1
531.15,214.61,2.46,391.9,4.51,77.49,53,2405.39,1,0,0,0
543.03,237.76,1.85,304.51,3.89,100.28,73,2407.87,2,2,2,0
490.51,213.49,0.81,212.84,3.58,92.18,55,2093.16,3,3,1,1
503.48,195.63,2.1,342.51,3.81,103.77,61,2270.17,3,1,1,1
445.19,225.71,1.15,290.55,4.28,105.78,13,1641.6,2,2,2,1
504.15,259.47,1.82,245.4,4.51,131.7,47,2405.73,3,0,2,0
441.48,155.68,1.81,189.48,4.11,113.8,64,2128.05,2,1,1,0
600.57,127.43,2.33,182.76,3.2,91.58,32,1825.83,0,1,0,1
330.05,173.35,1.23,251.13,4.32,112.26,28,1661.77,2,1,0,1
548.11,210.58,1.13,269.04,3.93,115.0,53,2057.44,2,3,0,1
524.6,150.52,1.44,303.08,4.17,96.86,8,1942.36,3,2,2,0
602.45,75.57,1.86,214.55,4.57,98.34,72,2638.08,3,3,1,1
471.39,174.53,1.93,328.82,4.0,126.25,98,2470.82,2,3,2,0
525.54,190.3,2.13,398.51,4.46,60.03,87,2476.8,3,3,0,1
328.35,141.89,1.64,323.15,4.23,95.91,74,2223.2,1,1,0,1
458.47,162.2,1.75,292.49,4.24,113.89,25,1722.23,1,0,2,1
585.57,243.36,1.53,257.21,3.85,120.94,33,1959.44,3,3,2,1
366.08,203.91,1.85,415.69,4.41,55.81,68,2195.47,3,2,1,1
515.97,217.28,1.03,284.52,4.46,73.23,7,1683.22,2,0,0,0
432.25,182.22,0.8,499.22,4.4,50.15,97,2370.68,0,2,1,1
488.9,162.29,1.09,205.36,3.84,117.46,66,2153.21,3,0,1,1
438.23,181.86,1.61,323.19,4.49,104.09,46,2057.39,1,2,1,1
375.28,224.94,0.85,413.02,4.19,128.38,96,2433.35,2,1,0,0
538.6,125.43,1.18,244.79,3.51,100.58,5,1587.71,3,3,1,0
495.04,282.51,1.2,281.11,3.81,144.82,17,1866.43,1,2,1,0
561.26,228.74,1.89,350.09,3.73,81.14,76,2465.78,1,0,1,0
579.44,173.21,1.83,331.03,3.01,92.66,52,2071.24,0,3,1,1
622.53,240.67,1.54,344.78,4.5,108.26,12,1973.3,2,3,1,1
626.86,183.48,1.74,272.26,4.6,108.34,35,2229.03,0,2,0,0
402.42,189.17,1.32,414.96,4.08,97.79,62,2055.8,0,1,1,1
590.9,274.67,1.23,162.4,3.74,96.62,21,1965.32,2,1,2,1
545.94,305.95,2.27,386.2,3.54,97.49,85,2562.35,2,2,1,0
